"title","release.year","user.rating.score"
"13 Reasons Why",2017,99
"Grey's Anatomy",2016,98
"Prison Break",2008,98
"The Walking Dead",2015,98
"Once Upon a Time",2016,98
"Marvel's Iron Fist",2017,98
"The Flash",2016,98
"Family Guy",2015,98
"Criminal Minds",2016,98
"Friends",2003,98
"Orange Is the New Black",2016,98
"Finding Dory",2016,98
"Lost",2010,98
"Breaking Bad",2013,97
"The 100",2016,97
"The Office (U.S.)",2012,97
"Shameless (U.S.)",2016,97
"Zootopia",2016,97
"Kevin Hart: What Now?",2016,97
"Bones",2016,97
"Law & Order: Special Victims Unit",2015,97
"NCIS",2016,97
"Last Man Standing",2015,97
"The Jungle Book",2016,97
"The BFG",2016,97
"Pretty Little Liars",2016,96
"Arrow",2015,96
"Gossip Girl",2012,96
"Ingobernable",2017,96
"Kubo and the Two Strings",2016,96
"The Blacklist",2016,96
"London Has Fallen",2016,96
"Hawaii Five-0",2016,96
"Alice Through the Looking Glass",2016,96
"Minions",2015,96
"Homeward Bound: The Incredible Journey",1993,96
"Atlantis: The Lost Empire",2001,96
"Supernatural",2016,95
"Sherlock",2016,95
"Marvel's Luke Cage",2016,95
"How to Get Away with Murder",2016,95
"Better Call Saul",2016,95
"Coraline",2009,95
"Dexter",2013,95
"Blue Bloods",2016,95
"Tarzan",1999,95
"The Emperor's New Groove",2000,95
"Lilo & Stitch",2002,95
"How I Met Your Mother",2014,94
"Narcos",2016,94
"Girlboss",2017,94
"Parks and Recreation",2015,94
"The Great British Baking Show",2016,94
"Dave Chappelle",2017,94
"Home",2015,94
"Bee Movie",2007,94
"Pete's Dragon",2016,93
"Chewing Gum",2017,93
"The Night Shift",2015,93
"White Collar",2014,93
"Person of Interest",2016,93
"Star Wars: The Clone Wars",2014,93
"Hotel Transylvania 2",2015,93
"Anastasia",1997,93
"Blank Check",1994,93
"Sandy Wexler",2017,92
"Glee",2015,92
"The Client List",2013,92
"Scandal",2016,92
"Longmire",2016,92
"Chicken Little",2005,92
"The Angry Birds Movie",2016,92
"Kung Fu Panda 3",2016,92
"The Vampire Diaries",2017,91
"New Girl",2016,91
"Sausage Party",2016,91
"It's Always Sunny in Philadelphia",2016,91
"Jane The Virgin",2016,91
"Gilmore Girls",2006,91
"House of Cards",2016,91
"The Pacifier",2005,91
"Kung Fu Panda",2008,91
"The Road to El Dorado",2000,91
"Corpse Bride",2005,91
"One Tree Hill",2011,90
"American Horror Story",2016,90
"Grace and Frankie",2017,90
"Stranger Things",2016,90
"Fuller House",2016,90
"Charmed",2005,90
"Goosebumps",2015,90
"Sand Castle",2017,89
"The Magicians",2016,89
"Twilight",2008,89
"That '70s Show",2005,89
"Lie to Me",2010,89
"Marvel's Agents of S.H.I.E.L.D.",2016,89
"Phineas and Ferb",2012,89
"Naruto",2008,88
"The Cleveland Show",2012,88
"Private Practice",2012,88
"Quantico",2016,88
"Breakout Kings",2012,88
"Forensic Files",2011,88
"Jessie",2015,88
"Dragons: Race to the Edge",2017,88
"Bordertown",2016,86
"Grease",1978,86
"Leverage",2012,86
"Travelers",2016,86
"Scooby-Doo",2002,86
"The Little Rascals",1994,86
"Heartland",2015,85
"Weeds",2012,85
"Burn Notice",2013,85
"Gotham",2016,85
"Lab Rats",2016,85
"Mulan 2",2004,85
"Lilo & Stitch 2: Stitch Has A Glitch",2005,85
"Barbie Life in the Dreamhouse",2012,85
"The Do-Over",2016,84
"Gabriel lglesias: I�۪m Sorry For What I Said When I Was Hungry",2016,84
"Revenge",2015,84
"The Crown",2016,84
"Limitless",2016,84
"The Nightmare Before Christmas",1993,84
"Walt Disney Animation Studios Short Films Collection",2015,84
"Trollhunters",2016,83
"Bates Motel",2016,83
"Switched at Birth",2015,83
"Marvel's Jessica Jones",2015,83
"The Iron Giant",1999,83
"Flubber",1997,83
"White Chicks",2004,82
"Santa Clarita Diet",2017,82
"Nurse Jackie",2015,82
"The Waterboy",1998,82
"Scooby-Doo 2: Monsters Unleashed",2004,82
"Sofia the First",2015,82
"Masha and the Bear",2013,81
"The Secret Life of the American Teenager",2013,81
"Sense8",2017,81
"Friday Night Lights",2010,81
"Hart of Dixie",2014,81
"Rosewood",2015,81
"The Magic School Bus",1997,81
"Cool Runnings",1993,81
"The Prince of Egypt",1998,81
"Black Mirror",2016,80
"The Get Down",2017,80
"Baby Daddy",2016,80
"Growing Up Wild",2016,80
"Antz",1998,80
"Chicken Run",2000,80
"Honey, I Shrunk the Kids",1989,80
"Meet the Blacks",2016,79
"Dope",2015,79
"Parenthood",2014,79
"The Matchbreaker",2016,79
"Reign",2015,79
"The West Wing",2005,79
"American Crime Story: The People v. O.J. Simpson",2016,79
"Atlantis: Milo's Return",2003,79
"Only for One Night",2016,78
"Blow",2001,78
"The Adventures of Puss in Boots",2016,78
"Death Note",2006,77
"The Benchwarmers",2006,77
"Gilmore Girls: A Year in the Life",2016,77
"Magic Mike",2012,77
"Death in Paradise",2016,77
"The Batman",2007,77
"Goldie & Bear",2016,77
"Mad Men",2014,75
"Missione Hamburger",1997,75
"The Originals",2016,74
"Schitt's Creek",2016,74
"Cars Toons: Mater's Tall Tales",2010,74
"Pok̩mon: Indigo League",2000,74
"Ratchet and Clank",2016,74
"Heavyweights",1995,74
"H2O: Just Add Water",2009,74
"Raising Hope",2013,73
"The Killing",2014,73
"The Fosters",2016,73
"Mighty Morphin Power Rangers",2010,73
"Dawn of the Croods",2017,72
"Open Season: Scared Silly",2015,72
"Animaniacs",1997,72
"Louis C.K. 2017",2017,71
"Young Justice",2012,71
"All Hail King Julien",2016,71
"The Little Prince",2015,71
"Baby's Day Out",1994,71
"Madam Secretary",2016,70
"Little Einsteins",2007,70
"Paddington",2014,70
"FernGully: The Last Rainforest",1992,70
"D2: The Mighty Ducks",1994,70
"The Carmichael Show",2016,69
"The Great Gilly Hopkins",2016,69
"Skin Wars",2016,69
"Luther",2015,69
"Life in Pieces",2015,68
"10 Things I Hate About You",1999,68
"Touch",2012,68
"Super Why!",2015,68
"Annie",1982,68
"An Extremely Goofy Movie",1999,67
"LEGO Ninjago: Masters of Spinjitzu",2015,67
"Pocoyo",2007,67
"An American Tail",1986,67
"30 Rock",2012,66
"Crossing Lines",2015,66
"Justice League",2003,66
"Secret of the Wings",2012,65
"The Real Ghostbusters",1990,65
"Step Up",2006,64
"High School Musical",2006,64
"Spy Kids 3: Game Over",2003,64
"Pocahontas II: Journey to a New World",1998,64
"Balto",1995,64
"Californication",2014,63
"Brickleberry",2014,63
"Girlfriends' Guide to Divorce",2015,63
"Trouble with the Curve",2012,63
"90210",2013,62
"Portlandia",2016,62
"Greenleaf",2016,62
"Safe Haven",2013,62
"Cheer Squad",2016,61
"Little Boxes",2016,61
"Army Wives",2013,61
"The Fall",2016,61
"Talking Tom and Friends",2016,61
"Bunk'd",2016,61
"Fantasia",1940,61
"Absolutely Fabulous",2012,59
"Haters Back Off",2016,58
"Being Human (U.S.)",2014,58
"High School Musical 2",2007,58
"Harry and the Hendersons",1987,58
"Hunter X Hunter (2011)",2013,57
"Hap and Leonard",2016,57
"The Doctor Blake Mysteries",2016,57
"Brother Bear 2",2006,57
"The Pirate Fairy",2014,57
"How to Lose a Guy in 10 Days",2003,56
"Hannah Montana: The Movie",2009,56
"Bitten",2016,56
"Pok̩mon: XY",2015,56
"DreamWorks Shrek's Swamp Stories",2008,56
"Life Unexpected",2010,55
"Curious George",2006,55
