"show_id","listed_in"
"s11","Dramas, Thrillers"
"s18","Dramas, Thrillers"
"s169","Dramas, Thrillers"
"s207","Dramas, Thrillers"
"s213","Dramas, Thrillers"
"s221","Stand-Up Comedy"
"s262","Horror Movies"
"s306","Stand-Up Comedy"
"s308","Stand-Up Comedy"
"s311","Stand-Up Comedy"
"s313","Stand-Up Comedy"
"s321","Stand-Up Comedy"
"s345","Stand-Up Comedy"
"s371","Stand-Up Comedy"
"s376","Stand-Up Comedy"
"s379","Stand-Up Comedy"
"s387","Stand-Up Comedy"
"s388","Stand-Up Comedy"
"s418","Horror Movies"
"s478","Stand-Up Comedy"
"s483","Stand-Up Comedy"
"s484","Stand-Up Comedy"
"s494","Dramas, Thrillers"
"s497","Dramas, Thrillers"
"s536","Stand-Up Comedy"
"s551","Stand-Up Comedy"
"s552","Stand-Up Comedy"
"s569","Stand-Up Comedy"
"s578","Stand-Up Comedy"
"s586","Stand-Up Comedy"
"s649","Stand-Up Comedy"
"s650","Stand-Up Comedy"
"s651","Stand-Up Comedy"
"s685","Dramas, Thrillers"
"s847","Stand-Up Comedy"
"s848","Stand-Up Comedy"
"s849","Stand-Up Comedy"
"s853","Stand-Up Comedy"
"s915","Stand-Up Comedy"
"s916","Stand-Up Comedy"
"s917","Stand-Up Comedy"
"s918","Stand-Up Comedy"
"s919","Stand-Up Comedy"
"s920","Stand-Up Comedy"
"s922","Stand-Up Comedy"
"s923","Stand-Up Comedy"
"s924","Stand-Up Comedy"
"s1010","Stand-Up Comedy"
"s1072","Stand-Up Comedy"
"s1097","Stand-Up Comedy"
"s1102","Stand-Up Comedy"
"s1112","Dramas, Thrillers"
"s1220","Stand-Up Comedy"
"s1221","Stand-Up Comedy"
"s1252","Stand-Up Comedy"
"s1310","Stand-Up Comedy"
"s1311","Stand-Up Comedy"
"s1341","Stand-Up Comedy"
"s1353","Stand-Up Comedy"
"s1354","Stand-Up Comedy"
"s1355","Stand-Up Comedy"
"s1356","Stand-Up Comedy"
"s1357","Stand-Up Comedy"
"s1358","Stand-Up Comedy"
"s1361","Stand-Up Comedy"
"s1424","Dramas, Thrillers"
"s1444","Stand-Up Comedy"
"s1459","Stand-Up Comedy"
"s1460","Stand-Up Comedy"
"s1461","Stand-Up Comedy"
"s1469","Dramas, Thrillers"
"s1479","Dramas, Thrillers"
"s1507","Dramas, Thrillers"
"s1517","Stand-Up Comedy"
"s1544","Stand-Up Comedy"
"s1552","Horror Movies"
"s1558","Dramas, Thrillers"
"s1564","Stand-Up Comedy"
"s1565","Stand-Up Comedy"
"s1586","Stand-Up Comedy"
"s1602","Stand-Up Comedy"
"s1603","Stand-Up Comedy"
"s1607","Stand-Up Comedy"
"s1613","Dramas, Thrillers"
"s1632","Stand-Up Comedy"
"s1633","Stand-Up Comedy"
"s1635","Stand-Up Comedy"
"s1637","Stand-Up Comedy"
"s1655","Horror Movies"
"s1657","Dramas, Thrillers"
"s1672","Horror Movies"
"s1674","Horror Movies"
"s1685","Stand-Up Comedy"
"s1697","Stand-Up Comedy"
"s1698","Stand-Up Comedy"
"s1703","Stand-Up Comedy"
"s1705","Stand-Up Comedy"
"s1706","Stand-Up Comedy"
"s1715","Dramas, Thrillers"
"s1754","Stand-Up Comedy"
"s1796","Dramas, Thrillers"
"s1812","Horror Movies"
"s1823","Stand-Up Comedy"
"s1824","Dramas, Thrillers"
"s1841","Stand-Up Comedy"
"s1919","Stand-Up Comedy"
"s1920","Stand-Up Comedy"
"s1926","Stand-Up Comedy"
"s1927","Stand-Up Comedy"
"s1946","Dramas, Thrillers"
"s1957","Stand-Up Comedy"
"s1977","Horror Movies"
"s2008","Stand-Up Comedy"
"s2022","Stand-Up Comedy"
"s2087","Stand-Up Comedy"
"s2090","Stand-Up Comedy"
"s2094","Stand-Up Comedy"
"s2105","Horror Movies"
"s2119","Stand-Up Comedy"
"s2123","Stand-Up Comedy"
"s2144","Stand-Up Comedy"
"s2145","Stand-Up Comedy"
"s2146","Stand-Up Comedy"
"s2149","Stand-Up Comedy"
"s2166","Horror Movies"
"s2248","Stand-Up Comedy"
"s2253","Dramas, Thrillers"
"s2257","Stand-Up Comedy"
"s2258","Stand-Up Comedy"
"s2259","Stand-Up Comedy"
"s2260","Dramas, Thrillers"
"s2287","Horror Movies"
"s2320","Dramas, Thrillers"
"s2329","Stand-Up Comedy"
"s2331","Stand-Up Comedy"
"s2333","Stand-Up Comedy"
"s2334","Stand-Up Comedy"
"s2378","Stand-Up Comedy"
"s2395","Horror Movies"
"s2406","Horror Movies"
